🗣️🌍	Part of Speech	English									简体中文									繁體中文									हिंदी									Русский									Português									Deutsch								
🙋	modifier	puson	Mandarin 服從 fúcóng 'obey, submit'	obedient			following, obedient, attentive				puson	Mandarin 服從 fúcóng 'obey, submit'	服从的			跟随的、服从的、肯帮忙的				puson	Mandarin 服從 fúcóng 'obey, submit'	服從的			跟隨的、服從的、肯幫忙的				पूसों	चीनी 服從 फ़ूचोङ 'बात मानना'	आज्ञाकारी			आज्ञाकारी, चौकस				пусон	Китайский 服從 fúcóng 'подчиняться, повиноваться'	послушный		последователь	послушный, внимательный, покорный				puson	Mandarim 服從 fúcóng 'obedecer, submeter'	obediente			seguidor, obediente, atencioso				puson	Mandarin 服從 fúcóng 'gehorchen, unterwerfen'	gehorsam			folgend, gehorsam, aufmerksam			
🧒	noun	putala	Sanskrit पुत्र putra 'son, child'	offspring		son, daughter, offspring					putala	Sanskrit पुत्र putra 'son, child'	儿女		儿子、女儿、后代					putala	Sanskrit पुत्र putra 'son, child'	兒女		兒子、女兒、後代					पूताला	संस्कृत पुत्र	पुत्र		बच्चा, बेटा, बेटी, पुत्र, पुत्री					путала	Санскрит पुत्र putra 'сын, ребёнок'	потомок		сын, дочь, потомок, плод, наследник					putala	Sânscrito पुत्र putra 'filho, criança'	cria		filho, filha, cria					putala	Sanskrit पुत्र putra 'Sohn, Kind'	Nachkomme		Sohn, Tochter, Nachkomme				
🐚	noun	sa	Arabic شَيْء‎ šayʾ 'thing'	thing		thing, phenomenon, object, matter, something					sa	Arabic شَيْء‎ šayʾ 'thing'	事物		东西、事物、现象、物体、物质、某物					sa	Arabic شَيْء‎ šayʾ 'thing'	事物		東西、事物、現象、物體、物質、某物					सा	अरबी شَيْء‎ शय 'चीज़'	चीज़		चीज़, वस्तु					са	Арабский شَيْء‎ šayʾ 'вещь'	вещь		вещь, явление, объект, материя, что-то					sa	Árabe شَيْء‎ šayʾ 'coisa'	coisa		coisa, fenômeno, objeto, matéria, algo					sa	Arabisch شَيْء‎ šayʾ 'Ding'	Ding		Ding, Phänomen, Objekt, Materie, etwas				
🔄	modifier	sajo	Mandarin 著 zháo 'continuous marker'	ongoing			ongoing, in continuation				sajo	Mandarin 著 zháo 'continuous marker'	持续的			进行中的、持续的				sajo	Mandarin 著 zháo 'continuous marker'	持續的			進行中的、持續的				सायो	चीनी 著 त्साओ 'जारी रहना का प्रतीक'	जारी			चल रहा, जारी, खत्म न हुआ				саё	Китайский 著 zháo '(маркер непрерывности)'	в процессе			постоянный, непрерывный, происходящий в настоящее время, в процессе				sajo	Mandarim 著 zháo 'marcador contínuo'	em andamento			em andamento, continuando				sajo	Mandarin 著 zháo 'Fortzetungsmarker'	fortlaufend			fortlaufend, in Fortsetzung			
🗳️	verb	saku	Swahili -chagua 'to choose, to elect'	choose	to chose, to decide	choice					saku	Swahili -chagua 'to choose, to elect'	选择	选择、决定	选择、决定					saku	Swahili -chagua 'to choose, to elect'	選擇	選擇、決定	選擇、決定					साकू	स्वाहिली -chagua -चागुआ 'चुनना'	चुनना	चुनना, फ़ैसला लेना	चुनाव, पसंद, चयन					саку	Суахили -chagua 'выбирать, избирать'	выбирать	выбирать, решать	выбор					saku	Swahili -chagua 'escolher, eleger'	escolher	escolher, decidir	escolha					saku	Swahili -chagua 'wählen'	wählen	wählen, entscheiden	Wahl, Entscheidung				
⚛️	noun	sala	Arabic ذَرَّة ḏarra 'tiny particle, atom'	atom		speck, atom, smallest unit of					sala	Arabic ذَرَّة ḏarra 'tiny particle, atom'	原子		斑点、原子、最小单位					sala	Arabic ذَرَّة ḏarra 'tiny particle, atom'	原子		斑點、原子、最小單位					साला	अरबी ذَرَّة ज़र्राह 'ज़र्राह, पर्माणु, कण'	कण		कण, पर्माणु, सबसे छोटा अंग, ज़र्राह					сала	Арабский ذَرَّة ḏarra 'крошечная частица, атом'	атом		частица, крупинка, атом, наименьшая единица					sala	Árabe ذَرَّة ḏarra 'partícula minúscula, átomo'	átomo		partícula, átomo, menor unidade de					sala	Arabisch ذَرَّة ḏarra 'winziges Teilchen, Atom'	Atom		Teilchen, Atom, kleinste Einheit von				
⚖️	modifier	sama	Finnish sama ‘same’ (from PG *samaz ‘same, alike’) & Esperanto sama ‘same’ (from English same)	same			same, similar, equal, fellow				sama	Finnish sama ‘same’ (from PG *samaz ‘same, alike’) & Esperanto sama ‘same’ (from English same)	相同的			相同的、相似的、平等的、同类的				sama	Finnish sama ‘same’ (from PG *samaz ‘same, alike’) & Esperanto sama ‘same’ (from English same)	相同的			相同的、相似的、平等的、同類的				सामा	फ़िन्निश sama सामा ‘समान’ और एस्पेरांटो sama सामा ‘समान’ (जिसका मूल है अंग्रेज़ी same सेम)	समान			समान, एक जैसा				сама	Финский sama ‘такой же’ (от португальского *samaz ‘такой же, похожий’) & Эсперанто sama ‘такой же’ (от английского same)	такой же		товарищ, ровня, близнец	такой же, похожий, равный				sama	Finlandês sama ‘mesmo’ (do PG *samaz ‘mesmo, similar’) & Esperanto sama ‘mesmo’ (do inglês same)	mesmo			mesmo, similar, igual, companheiro				sama	Finnisch sama ‘gleich’ (aus dem PG *samaz ‘gleich’) & Esperanto sama ‘gleich’ (aus dem Englischen same)	gleich			gleich, ähnlich			
3️⃣	numeral	san	Mandarin 三 sān 'three'	three						three	san	Mandarin 三 sān 'three'	三						三、3	san	Mandarin 三 sān 'three'	三						三、3	सां	चीनी 三 सान 'तीन'	तीन						तीन	сан	Китайский 三 sān 'три'	три						три	san	Mandarim 三 sān 'três'	três						três	san	Mandarin 三 sān 'drei'	drei						drei
‼️	verb	sankan	Thai สำคัญ sam-khan 'noteworthy, special, important, significant'	signify	signify, mean	meaning, significance					sankan	Thai สำคัญ sam-khan 'noteworthy, special, important, significant'	表示	表示、意思是	意义					sankan	Thai สำคัญ sam-khan 'noteworthy, special, important, significant'	表示	表示、意思是	意義					सांकां	थाई สำคัญ साम-खान 'ज़रूरी'	महत्व	का अर्थ/तात्पर्य/महत्व होना	अर्थ, तात्पर्य, महत्व					санкан	Тайский สำคัญ sam-khan 'примечательный, особенный, важный, значительный'	означать	означает, значит	значение					sankan	Tailandês สำคัญ sam-khan 'notável, especial, importante, significante'	significar	significar	sentido, significado					sankan	Thailändisch สำคัญ sam-khan 'bemerkenswert, bedeutsam, wichtig'	bedeuten	bedeuten, meinen	Bedeutung, Wichtigkeit				
😌	modifier	santi	Hindi शांति śānti 'peace'	calm			peaceful, calm, relaxed, stable				santi	Hindi शांति śānti 'peace'	平静的			平静的、冷静的、放松的、稳定的				santi	Hindi शांति śānti 'peace'	平靜的			平靜的、冷靜的、放鬆的、穩定的				सांती	हिंदी शांति	शांत			शांत, आराम करता, स्थिर				санти	Хинди शांति śānti 'мир'	спокойный			мирный, спокойный, расслабленный, стабильный				santi	Híndi शांति śānti 'paz'	calmo			pacífico, calmo, relaxado, estável				santi	Hindi शांति śānti 'Friede'	ruhig			friedlich, ruhig, entspannt, stabil			
🧼	modifier	sapi	Arabic صَافٍ‎ ṣāfin 'pure, clean'	clean			clean, sanitized				sapi	Arabic صَافٍ‎ ṣāfin 'pure, clean'	清洁的			清洁的、干净的				sapi	Arabic صَافٍ‎ ṣāfin 'pure, clean'	清潔的			清潔的、乾淨的				सापी	अरबी صَافٍ‎ साफ़िं 'साफ़'	साफ़			साफ़				сапи	Арабский صَافٍ‎ ṣāfin 'чистый'	чистый			чистый, стерильный				sapi	Árabe صَافٍ‎ ṣāfin 'puro, limpo'	limpo			limpo, higienizado				sapi	Arabisch صَافٍ‎ ṣāfin 'sauber'	sauber			sauber, desinfiziert			
📈	modifier	sata	Hindi ज़्यादा zyādā 'more', ultimately from Arabic زِيَادَة ziyāda 'increase'	more			more (comparative)				sata	Hindi ज़्यादा zyādā 'more', ultimately from Arabic زِيَادَة ziyāda 'increase'	更			更、更多、更加（比较）				sata	Hindi ज़्यादा zyādā 'more', ultimately from Arabic زِيَادَة ziyāda 'increase'	更			更、更多、更加（比較）				साता	हिंदी ज़्यादा जिसका मूल है अरबी زِيَادَة ज़ियादह 'बढ़ना'	ज़्यादा			ज़्यादा, अधिक				сата	Хинди ज़्यादा zyādā 'больше', от арабского زِيَادَة ziyāda 'увеличивать'	больше			больше (в сравнении)				sata	Híndi ज़्यादा zyādā 'mais', derivado do árabe زِيَادَة ziyāda 'aumento'	mais			mais (comparativo)				sata	Hindi ज़्यादा zyādā 'mehr', aus dem Arabischen زِيَادَة ziyāda 'erhöhen'	mehr			weniger (komparativ)			
